2020-07-16 17:43:32.511 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration(308) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [CSCI5308.GroupFormationTool.CoursesTest.CourseTest], using SpringBootContextLoader
2020-07-16 17:43:39.859 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.860 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.860 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.860 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.861 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.861 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.861 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.862 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.862 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.862 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.863 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.863 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.863 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.863 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.864 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.864 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.864 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.865 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.865 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.865 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.866 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.866 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.866 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.867 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.867 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.867 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.868 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.868 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.868 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.869 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.869 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.869 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.870 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.870 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.870 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.870 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.871 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.871 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.871 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.872 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.872 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.872 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.872 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.873 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.873 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.874 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.874 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.874 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.874 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.875 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.875 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.875 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.876 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.876 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.876 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.877 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.877 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.878 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.878 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.878 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.879 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.879 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.879 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.879 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.880 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.880 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.880 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.881 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.881 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.881 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.882 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.882 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.882 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.882 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.883 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.883 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.883 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.884 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.884 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.884 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.885 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.886 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.886 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.886 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.886 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.887 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.887 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.887 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.887 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.887 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.888 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.888 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.888 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.888 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.889 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.889 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.889 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.889 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.889 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.890 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.890 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.890 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.890 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.891 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.891 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.891 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.891 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.892 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.892 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.892 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.892 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.892 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.895 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.896 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.896 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.896 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.896 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.897 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.897 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.897 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.897 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.898 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.898 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.898 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.898 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.899 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.899 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.899 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.899 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.899 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.900 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.900 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.900 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.900 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.901 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.901 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.901 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.901 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.902 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.902 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.902 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.902 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.903 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.903 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.904 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.904 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.905 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.905 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.905 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.905 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(47) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail, message=Null Password
2020-07-16 17:43:39.905 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.906 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.906 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.906 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.906 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.907 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.907 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.907 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.907 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.907 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
